order_id,order_date,region,product,quantity,revenue,customer_id
1001,2024-01-05,North,Widget A,12,480.00,C001
1002,2024-01-12,South,Widget B,8,320.00,C002
1003,2024-01-18,North,Widget A,25,1000.00,C003
1004,2024-02-03,East,Widget C,5,275.00,C004
1005,2024-02-14,West,Widget B,18,720.00,C005
1006,2024-02-22,South,Widget A,30,1200.00,C006
1007,2024-03-01,North,Widget C,10,550.00,C007
1008,2024-03-10,East,Widget B,15,600.00,C008
1009,2024-03-18,West,Widget A,22,880.00,C009
1010,2024-03-25,South,Widget C,7,385.00,C010
1011,2024-04-02,North,Widget B,20,800.00,C011
1012,2024-04-09,East,Widget A,14,560.00,C012
1013,2024-04-15,West,Widget C,9,495.00,C013
1014,2024-04-22,South,Widget B,11,440.00,C014
1015,2024-05-01,North,Widget A,28,1120.00,C015
